Date,Open,High,Low,Close,Volume
,INTU,INTU,INTU,INTU,INTU
2007-01-03,26.94591385989996,27.27966303040188,25.558216942711553,25.90074920654297,4734600
2007-01-04,25.997359110066142,26.47163437877492,25.628477600979934,26.260845184326172,3477500
2007-01-05,26.30476488233857,26.37502795846833,25.900750938189542,26.199369430541992,2738700
2007-01-08,26.006147437768266,26.19058739183848,25.171771909307157,25.321081161499023,6703900
2007-01-09,25.2683883852385,25.786579305145757,25.154209816334614,25.40891456604004,4889800
2007-01-10,25.09273014150409,25.90075652901537,25.066382529270573,25.81292724609375,3792400
2007-01-11,25.988580535639517,26.278415937794446,25.87440198846109,26.0588436126709,3538200
2007-01-12,26.269636908695432,27.200623242221834,26.269636908695432,26.6033878326416,5379200
2007-01-16,26.61216562042758,26.682428698740896,26.34867949555361,26.541902542114258,4196200
2007-01-17,26.541902846040383,27.033746075069544,26.436509064965524,26.85808753967285,5479000
2007-01-18,27.420191965729995,27.52558742121359,26.981047305755563,27.385061264038086,6365000
2007-01-19,27.13035858677817,27.692464932735312,27.13035858677817,27.543155670166016,5353700
2007-01-22,27.446541838087803,27.62220037593315,26.849304819658375,27.253318786621094,3658500
2007-01-23,27.613418374715156,28.210653741584714,27.525589102315386,27.912036895751953,4148000
2007-01-24,28.05255940729447,28.30726242135094,27.955947052719353,28.078907012939453,2491800
2007-01-25,27.929598190420464,28.140389089962124,27.420190479469774,27.56071662902832,3475000
2007-01-26,27.481676208795104,27.692465464374234,27.121576012576153,27.332366943359375,3186900
2007-01-29,27.218184678123738,27.666112413461384,27.104007808427724,27.420190811157227,2920700
2007-01-30,27.367493170061145,27.490453130227337,26.884434747804974,27.15670394897461,3733700
2007-01-31,27.226972904976197,27.832993093531226,26.761478894172456,27.622203826904297,2516800
2007-02-01,27.57828181290046,27.824203403280304,27.2708802437266,27.516801834106445,2008900
2007-02-02,27.48167362529772,27.701245955284936,27.191836541518818,27.385061264038086,2004100
2007-02-05,27.420188997170055,27.832986004986378,27.420188997170055,27.727590560913086,2362800
2007-02-06,27.73637749348254,27.806640574189366,27.38506208994841,27.499238967895508,2718100
2007-02-07,27.70124328725012,27.876900129199207,27.411406231386763,27.815420150756836,2348100
2007-02-08,27.859337909265307,28.19308712913294,27.84177339521207,27.9735164642334,4015200
2007-02-09,27.964728201251546,28.09647124592454,27.45532053336659,27.613412857055664,2498600
2007-02-12,27.62220349716611,27.832992761276756,27.174275682729434,27.226972579956055,2946200
2007-02-13,27.32358261970771,27.49045639253517,27.1303578877121,27.288450241088867,2245300
2007-02-14,27.314791620886247,27.701239297845873,27.21817928284546,27.657323837280273,1706000
2007-02-15,27.60463292788587,27.78028978251443,27.37627750918524,27.43775749206543,2260500
2007-02-16,27.48166861973253,27.525582407649857,27.165483986076175,27.191831588745117,3079200
2007-02-20,27.112789092274465,27.34992590968974,27.016176741532544,27.2708797454834,3158200
2007-02-21,27.191845577737784,27.73638587415393,27.165497961514166,27.446550369262695,2813100
2007-02-22,27.393845044127534,27.947166592459215,27.042529642392818,27.1040096282959,4342400
2007-02-23,26.348679908064334,27.57828463539988,25.821705974862258,27.472890853881836,5995300
2007-02-26,27.639755533626605,27.639755533626605,27.03373730112282,27.121564865112305,4369900
2007-02-27,27.00739159071455,27.139134629287067,25.63726097419385,25.891963958740234,5679900
2007-02-28,25.47039191909843,26.09397657233014,25.40891193077463,25.918319702148438,4581800
2007-03-01,25.189344881108386,25.716318952824487,24.63602151948494,25.523094177246094,5702000
2007-03-02,25.514304928949322,26.19937122452686,25.514304928949322,25.575786590576172,5179700
2007-03-05,25.470382181902675,25.64604066013509,25.066370027252887,25.075151443481445,4064500
2007-03-06,25.066377304340506,25.391343405647834,24.785323322534424,25.2069034576416,5236800
2007-03-07,25.08394670893838,25.22447288964471,24.75898054425658,24.794111251831055,5233300
2007-03-08,24.829236228737294,24.91706548428277,24.513051578855062,24.57453155517578,4114700
2007-03-09,25.09272762583333,25.189339994881667,24.64479983552387,24.78532600402832,4176500
2007-03-12,24.609661445451273,24.750187570069695,24.54818147533116,24.697490692138672,3823600
2007-03-13,24.451576758740444,24.60088602209211,24.240787506103516,24.240787506103516,3835600
2007-03-14,24.249571027572458,24.73262953062841,24.24078793249092,24.723846435546875,4668100
2007-03-15,25.250816752505045,25.45282288447616,24.75897522568724,25.417692184448242,6061100
2007-03-16,25.470390088319604,25.479173182477975,25.066377808257933,25.233251571655273,5660000
2007-03-19,25.435254133435905,25.49673578389524,25.12785425715767,25.470386505126953,2893600
2007-03-20,25.63726293891024,25.830485965277372,25.470387517154588,25.742656707763672,3453600
2007-03-21,25.689961624145507,26.45407404031236,25.496738584233874,26.348678588867188,4567400
2007-03-22,24.75019401558612,25.294732471491876,24.03878011503648,24.18808937072754,11383000
2007-03-23,24.109045465129764,24.293485440884606,23.933386909473988,24.056346893310547,5345200
2007-03-26,23.994857124385703,24.08268636642646,23.722587981742464,24.038772583007812,4693200
2007-03-27,23.77529044583088,24.3549612342804,23.748942839667443,24.196868896484375,4243400
2007-03-28,24.065128707912713,24.170524170738055,23.696247100830078,23.696247100830078,5550300
2007-03-29,23.775285223636807,23.871897558892304,23.4854498930738,23.757719039916992,3614400
2007-03-30,23.80163766413924,24.047557568102874,23.617196060962808,24.029993057250977,3192500
2007-04-02,23.924600014283683,24.10904163594824,23.66989699176123,23.81920623779297,3503200
2007-04-03,23.898244148694964,24.354954854876535,23.757718035285777,24.091468811035156,2781100
2007-04-04,24.144167500824196,24.293476716952537,23.92459522270626,24.01242446899414,3280600
2007-04-05,23.96851408684746,24.302263259887695,23.88068482808831,24.302263259887695,3607100
2007-04-09,24.24078443414704,24.767758336559687,24.17930445265294,24.73262596130371,4715800
2007-04-10,24.636017539107787,24.91707156043043,24.54818993734884,24.890722274780273,4956000
2007-04-11,24.83802991465791,24.996120631817348,24.706285137551735,24.917076110839844,6029100
2007-04-12,24.94340916477014,25.11028455653711,24.820449231469983,25.10150146484375,3966900
2007-04-13,25.031247008317255,25.15420698387177,24.925851546981935,25.145423889160156,4243400
2007-04-16,25.250816761187405,25.71631068194529,25.23325057356548,25.654829025268555,5754200
2007-04-17,25.6899637032848,25.8568391502436,25.505523742333498,25.821706771850586,3978700
2007-04-18,25.47038506161999,25.935878908922888,25.373772720148693,25.865615844726562,4026600
2007-04-19,25.68995530358201,25.935876846313477,25.53186300291203,25.935876846313477,3540800
2007-04-20,25.663608911720534,26.058839707799844,25.31229357920762,25.979793548583984,5837600
2007-04-23,25.795357492604197,26.129106689702276,25.689962039455178,26.0588436126709,3918800
2007-04-24,26.058843133985558,26.085192415589766,25.567001603800733,25.584566116333008,4375100
2007-04-25,25.56700322836864,25.804140077059103,25.312298515621887,25.795358657836914,3817800
2007-04-26,25.43525192286796,25.689956569880714,25.43525192286796,25.610910415649414,3801900
2007-04-27,25.470390886556068,25.602133952652633,25.20690475436294,25.56700325012207,6086400
2007-04-30,25.593355665338304,25.60213876142164,24.96977092026009,24.987337112426758,4075000
2007-05-01,24.996115256784996,25.119076910629442,24.741412204572207,24.78532600402832,3755200
2007-05-02,24.846806643254826,25.075160401248542,24.820457359546015,24.96976661682129,2613400
2007-05-03,25.092727156218082,25.250819511627874,24.85558862310339,25.06637954711914,2295400
2007-05-04,25.224474132482488,25.24204032473734,24.71506628352191,24.838027954101562,2897600
2007-05-07,24.98733106490944,25.215684806992073,24.829238724080017,24.89950180053711,2045300
2007-05-08,24.77653793067583,24.82045339651195,24.609664186109754,24.811670303344727,4127600
2007-05-09,24.644792139004107,24.846799908946185,24.565745984505803,24.697490692138672,2882600
2007-05-10,24.55697274840197,24.75898059942109,24.35496657258707,24.56575584411621,3191600
2007-05-11,24.4779169829404,24.58331073264499,24.2934754081522,24.495481491088867,2797200
2007-05-14,24.556967112513426,24.57453329991042,24.29348100237381,24.416440963745117,4524800
2007-05-15,24.39887560695277,24.671144801365934,24.056341665383933,24.07390785217285,3340700
