Date,Open,High,Low,Close,Volume
,TRI,TRI,TRI,TRI,TRI
2007-01-03,23.981194026067623,24.351023978684402,23.981194026067623,24.108322143554688,55180
2007-01-04,24.027423208490085,24.04475799315567,23.698043194644114,23.807836532592773,38039
2007-01-05,23.663370195594425,23.663370195594425,23.201081700311047,23.34554672241211,55180
2007-01-08,23.339777135235252,23.588257320330932,23.253096816080582,23.432235717773438,30912
2007-01-09,23.33398820507108,23.51890316281571,23.195301456062683,23.287757873535156,33512
2007-01-10,23.229977938049867,23.44956462836993,23.16063454923299,23.3166561126709,34379
2007-01-11,23.31664908569539,23.576685653990975,23.276199141542694,23.501564025878906,30046
2007-01-12,23.692260853392686,23.721154278993332,23.617139220510776,23.680702209472656,22823
2007-01-16,23.72115367621667,23.74426671787017,23.518901824951172,23.518901824951172,25327
2007-01-17,23.622910593867992,23.622910593867992,23.28775035109505,23.36865234375,31683
2007-01-18,23.443792244540468,23.66337898991792,23.38600536510402,23.432235717773438,33994
2007-01-19,23.385999501408943,23.69226648914913,23.345549545065925,23.64603614807129,27927
2007-01-22,23.750048840702302,23.81939222253909,23.339768933834566,23.495790481567383,52195
2007-01-23,23.438007198198207,23.73849378958535,23.316655211061057,23.674928665161133,45935
2007-01-24,23.67492458124159,24.32790625237832,23.594024685638736,24.26434326171875,52965
2007-01-25,24.287467778083876,24.368367711904217,24.06210276695549,24.241239547729492,57106
2007-01-26,24.252796111699226,24.327917782190212,24.11410929762335,24.195009231567383,26964
2007-01-29,24.252784528536843,24.3683561108027,24.033197885391807,24.20655632019043,57491
2007-01-30,24.183441258448052,24.264343276901204,24.06786967568599,24.21811294555664,27253
2007-01-31,24.119882236157625,24.42614708700638,24.09676706668224,24.310575485229492,59225
2007-02-01,24.25856295427751,24.59950156550105,24.252784693544854,24.570608139038086,39579
2007-02-02,24.46081282124221,24.99244460727209,24.437697657397603,24.807527542114258,46417
2007-02-05,24.778642295403596,25.04445719196995,24.553277353349515,24.992450714111328,41891
2007-02-06,25.07913665808361,25.096473571276743,24.917334667084003,24.980899810791016,24942
2007-02-07,25.01557346013937,25.032910374681006,24.570621665182383,24.616849899291992,24171
2007-02-08,24.703521476152094,25.032901507764777,24.605284656014945,24.905771255493164,55276
2007-02-09,25.16580463892602,25.535634547300127,24.969331040677517,25.021337509155273,162362
2007-02-12,24.732411036560645,24.824869588292813,24.501267841430153,24.668848037719727,319909
2007-02-13,24.657285263972778,24.888430543205743,24.657285263972778,24.882652282714844,31779
2007-02-14,24.755527316360542,25.10802250913646,24.755527316360542,25.038679122924805,54602
2007-02-15,25.151992612727174,25.262410244317532,24.849797438873644,25.16942596435547,184029
2007-02-16,25.268232605950203,25.372839166881295,25.140381565837536,25.355405807495117,43431
2007-02-20,25.204302709350568,25.221736064971246,24.67545889912681,24.9021053314209,53061
2007-02-21,24.884681604156768,25.06483702296373,24.43719755009784,24.966041564941406,73284
2007-02-22,24.797499654990336,24.971843891611332,24.605722062142714,24.768444061279297,49691
2007-02-23,24.820748172901627,24.995092422925172,24.53017513448609,24.58247947692871,25616
2007-02-26,24.582487441533992,24.594109683677406,24.297725430045894,24.355838775634766,33898
2007-02-27,24.05944625438077,24.11756171487106,23.542226768527293,23.9548397064209,47187
2007-02-28,23.78048975749427,23.78048975749427,23.286517001260915,23.460861206054688,75499
2007-03-01,23.245839313753073,23.536412305174988,22.932019714463927,23.484107971191406,64232
2007-03-02,23.24583826532274,23.53641124363927,23.234213894478014,23.350444793701172,46417
2007-03-05,23.210981736350295,23.4724971285994,23.129621771627782,23.379512786865234,74633
2007-03-06,23.635205173405502,23.826984881509954,23.57128073890809,23.72818946838379,42083
2007-03-07,23.728193239291475,23.728193239291475,23.460866817910077,23.58290672302246,29275
2007-03-08,23.57129158930112,23.71657601448799,23.51898723215186,23.68170928955078,57106
2007-03-09,23.79212546068336,23.972280868972316,23.763067723564834,23.850238800048828,41602
2007-03-12,23.908351216348038,23.94322006945614,23.786311297905343,23.838613510131836,41313
2007-03-13,23.84442130303023,23.89672564283046,23.69332367226692,23.73981475830078,77714
2007-03-14,23.78050313272206,23.87929859348398,23.64684094626133,23.87348747253418,40735
2007-03-15,23.867669411079145,23.989709320152155,23.826989441388143,23.943218231201172,38520
2007-03-16,23.949028587346085,24.280281588450144,23.937406349196458,23.9548397064209,21379
2007-03-19,24.117561838585946,24.26284835568586,24.05363525869292,24.20473289489746,15986
2007-03-20,24.3151509152689,24.64640392287808,24.27447094607526,24.58247947692871,42661
2007-03-21,24.495299719157593,24.809119285088858,24.495299719157593,24.75681495666504,30238
2007-03-22,24.81493509366317,24.89048390689417,24.623157501220707,24.623157501220703,52291
2007-03-23,24.698718310871552,24.803324903431648,24.63479170405061,24.669660568237305,24749
2007-03-26,24.727763861265363,24.751010472892208,24.338397526895747,24.58247947692871,27831
2007-03-27,24.63478252464392,24.70452022703167,24.477873761707077,24.547609329223633,19260
2007-03-28,24.55923139759628,24.55923139759628,24.286091733070876,24.338396072387695,24171
