Date,Open,High,Low,Close,Volume
,PEP,PEP,PEP,PEP,PEP
2007-01-03,35.24530324235329,35.61068388284242,35.10477173193269,35.25654602050781,6161600
2007-01-04,35.24529198710927,35.55446078243637,35.13286638580669,35.49824905395508,5414300
2007-01-05,35.24529463473988,35.53760036234863,35.24529463473988,35.385826110839844,4542400
2007-01-08,35.4139204706063,35.565694672801065,35.335223212654824,35.46451187133789,6122600
2007-01-09,35.44203846635225,35.67813246540586,35.41955291513949,35.61067581176758,4916500
2007-01-10,35.41394084799143,36.13908396094921,35.01483187053678,36.060386657714844,6427100
2007-01-11,36.08846888862854,36.57189734261889,36.08846888862854,36.51006317138672,6909300
2007-01-12,36.41451226597667,36.67871210448898,36.30770698095767,36.36954116821289,4982100
2007-01-16,36.25712183702178,36.53256233696863,36.25712183702178,36.45386505126953,3517700
2007-01-17,36.352686330453096,36.53818893432617,36.29085212916207,36.53818893432617,4494400
2007-01-18,36.206540092016496,36.84174096973069,36.09973477263715,36.493221282958984,4144300
2007-01-19,36.543797915129396,36.543797915129396,36.35267292108965,36.43699264526367,5333700
2007-01-22,36.33019077544899,36.611253689880165,36.279601509417645,36.431373596191406,5546700
2007-01-23,36.37517878378802,36.600030077614186,36.3414525907527,36.4482536315918,3860200
2007-01-24,36.39203065563764,36.65060806274414,36.25712163642564,36.65060806274414,3586600
2007-01-25,36.57755254375689,36.57755254375689,36.16158034656552,36.2121696472168,3750500
2007-01-26,36.22901153564453,36.431377197131525,36.20090781463143,36.22901153564453,8566800
2007-01-29,36.229015668682294,36.453866905839085,36.200911944463094,36.31333541870117,4451200
2007-01-30,36.35831380918745,36.656239935428054,36.20091919824385,36.588783264160156,5131600
2007-01-31,36.59439460686709,36.7405485391998,36.47072622479173,36.673091888427734,4277000
2007-02-01,36.5381865915661,36.75741536802105,36.358306459893306,36.751792907714844,4382800
2007-02-02,36.341451563508095,36.7068343695623,36.33582910193389,36.5606803894043,3097800
2007-02-05,36.53818733687653,36.53818733687653,36.223398172198195,36.442626953125,3646800
2007-02-06,36.448248415441356,36.50446444736404,36.17843033240931,36.19529342651367,4129800
2007-02-07,36.20089507008886,36.36953020283985,36.09971227496682,36.25710678100586,4323100
2007-02-08,35.55447128182562,36.037900009147315,35.301514140280474,35.588199615478516,13901100
2007-02-09,35.166591821552025,36.06037195478162,35.166591821552025,35.92546081542969,7276500
2007-02-12,35.970446469250845,35.97606678617628,35.72873209898397,35.81867218017578,4961100
2007-02-13,35.85800466340121,36.05474783219089,35.644396262758335,35.86924743652344,4969500
2007-02-14,35.86363290206066,35.95357296257151,35.61067581176758,35.61067581176758,6885900
2007-02-15,35.56008142727944,36.26835907667521,35.55446111211519,36.021026611328125,4701500
2007-02-16,36.12783742296757,36.51008328816336,36.04914012325207,36.3245849609375,6386100
2007-02-20,36.21215297868162,36.403278033426254,36.10535196357323,36.3189582824707,3994700
