window,mse,mae,smape,crps,wis50,wis80,wis90,cov50,cov80,cov90,sharp80,ece_q,mse_naive,mae_naive,pinball_p10,pinball_p50,pinball_p90
1,0.46742990612983704,0.6778996586799622,12.66040951013565,0.6454782485961914,2.5908660888671875,6.229979515075684,11.875357627868652,0.0,0.0,0.0,0.11183663457632065,0.4999999999999999,0.019557755440473557,0.11221422255039215,0.07236509770154953,0.3389498293399811,0.550632894039154
2,0.4567382335662842,0.671542227268219,12.498927116394043,0.6314528584480286,2.5638463497161865,6.052841663360596,11.861038208007812,0.0,0.0,0.0,0.15290294587612152,0.4999999999999999,0.019249865785241127,0.11830956488847733,0.07428968697786331,0.3357711136341095,0.5309944748878479
3,0.43368178606033325,0.6471648812294006,12.023936212062836,0.6207966208457947,2.5516254901885986,5.899529933929443,11.497673988342285,0.0,0.0,0.0,0.14302976429462433,0.4999999999999999,0.017182758077979088,0.11483342200517654,0.07186798006296158,0.3235824406147003,0.5180850028991699
4,0.43782803416252136,0.6543245911598206,12.150876969099045,0.6099381446838379,2.4752354621887207,5.84700870513916,10.936601638793945,0.0,0.0,0.0,0.17405939102172852,0.4999999999999999,0.014846397563815117,0.10621445626020432,0.0741354301571846,0.3271622955799103,0.5105654001235962
5,0.450335830450058,0.6601567268371582,12.293171137571335,0.6224564909934998,2.517479658126831,6.011486530303955,11.771546363830566,0.0,0.0,0.0,0.0769670382142067,0.4999999999999999,0.005968585144728422,0.07088109105825424,0.06704191118478775,0.3300783634185791,0.5341067910194397
6,0.3340604305267334,0.5695399641990662,10.577025264501572,0.5725740194320679,2.319308042526245,5.736547946929932,11.293070793151855,0.0,0.0,0.0,0.09258365631103516,0.4999999999999999,0.02242673747241497,0.12821435928344727,0.06569800525903702,0.2847699820995331,0.5079566836357117
7,0.3608017861843109,0.5880536437034607,11.234383285045624,0.5448002815246582,2.2851898670196533,5.154606819152832,8.5232572555542,0.0,0.0,0.0,0.16085945069789886,0.3714285714285714,0.31704381108283997,0.31685706973075867,0.13267342746257782,0.29402682185173035,0.38278722763061523
8,0.31164127588272095,0.5420964360237122,10.589852184057236,0.4924251437187195,2.0340394973754883,4.444369792938232,8.687220573425293,0.0,0.0,0.0,0.2118537724018097,0.28571428571428575,0.5694141983985901,0.49635738134384155,0.20521967113018036,0.2710482180118561,0.23921731114387512
9,0.3761332035064697,0.6036772727966309,12.02373132109642,0.5552186369895935,2.2749197483062744,5.099666595458984,9.703080177307129,0.0,0.0,0.0,0.15014402568340302,0.24285714285714283,0.7560166120529175,0.6250478625297546,0.27774831652641296,0.30183863639831543,0.23221836984157562
10,0.3987584710121155,0.6219882965087891,12.598340213298798,0.599218487739563,2.4723918437957764,5.8516035079956055,11.319366455078125,0.0,0.0,0.0,0.09855365753173828,0.24285714285714283,0.9075526595115662,0.7455950379371643,0.37378618121147156,0.31099414825439453,0.21137414872646332
11,0.40013986825942993,0.6222186088562012,12.80626356601715,0.5963255763053894,2.395343780517578,5.66619873046875,11.218083381652832,0.0,0.0,0.0,0.1195111945271492,0.28571428571428575,1.0258663892745972,0.8604283928871155,0.4282543957233429,0.3111093044281006,0.1383654773235321
12,0.5147597193717957,0.706480085849762,14.672121405601501,0.6807392835617065,2.7530457973480225,6.648373603820801,12.698132514953613,0.0,0.0,0.0,0.10410697013139725,0.37142857142857133,1.260004997253418,1.0435713529586792,0.5354121923446655,0.353240042924881,0.12942510843276978
13,0.5764830708503723,0.7549614906311035,15.82554280757904,0.7328664064407349,2.993774652481079,7.090761661529541,13.88457202911377,0.0,0.0,0.0,0.11471346765756607,0.5000000000000001,1.389785885810852,1.1785002946853638,0.6278442740440369,0.37748074531555176,0.08123182505369186
14,0.4004914164543152,0.6227240562438965,13.196206092834473,0.5694027543067932,2.4492275714874268,4.966763019561768,9.501214981079102,0.0,0.0,0.0,0.2500121295452118,0.5000000000000001,0.004973146133124828,0.06785692274570465,0.42450758814811707,0.31136202812194824,0.07216872274875641
15,0.21409444510936737,0.46139028668403625,9.955208748579025,0.45246216654777527,1.8143364191055298,4.521789073944092,8.749284744262695,0.0,0.0,0.0,0.022377831861376762,0.5000000000000001,0.000832749530673027,0.0217143464833498,0.40494704246520996,0.23069514334201813,0.047231901437044144
16,0.20220579206943512,0.4474150240421295,9.659309685230255,0.4346463978290558,1.7532628774642944,4.312962532043457,8.28275203704834,0.0,0.0,0.0,0.0467965267598629,0.5000000000000001,0.0009885291801765561,0.026095254346728325,0.3839549422264099,0.22370751202106476,0.04734131321310997
17,0.1960376352071762,0.44043636322021484,9.510169178247452,0.4283481538295746,1.7201842069625854,4.186166763305664,8.335967063903809,0.0,0.0,0.0,0.04156126454472542,0.5000000000000001,0.0010535884648561478,0.028833458200097084,0.3730144500732422,0.22021818161010742,0.04560217633843422
18,0.1821669489145279,0.42471885681152344,9.18363481760025,0.42149922251701355,1.6988754272460938,4.205662727355957,8.400944709777832,0.0,0.0,0.0,0.010381425730884075,0.5000000000000001,0.0010684544686228037,0.02992868423461914,0.3775753080844879,0.21235942840576172,0.04299095645546913
19,0.17428016662597656,0.41501468420028687,8.945055305957794,0.40199586749076843,1.6133863925933838,4.015834331512451,7.719742298126221,0.0,0.0,0.0,0.026447637006640434,0.5000000000000001,0.006455658935010433,0.06971447914838791,0.35904479026794434,0.20750734210014343,0.042538635432720184
20,0.14843611419200897,0.38209375739097595,8.241154253482819,0.37833791971206665,1.5231939554214478,3.743220806121826,7.362095355987549,0.0,0.0,0.0,0.025905540212988853,0.5000000000000001,0.004603083711117506,0.05928591266274452,0.3345583975315094,0.19104687869548798,0.039763711392879486
21,0.13875135779380798,0.3706454634666443,7.980935275554657,0.36623620986938477,1.4722288846969604,3.628807544708252,7.1333794593811035,0.0,0.0,0.0,0.025882380083203316,0.5000000000000001,0.00720874173566699,0.0805000588297844,0.32426324486732483,0.18532273173332214,0.038617491722106934
22,0.13957257568836212,0.3715853691101074,7.994803041219711,0.35980772972106934,1.4811660051345825,3.4570841789245605,6.857497692108154,0.0,0.0,0.0,0.05175379291176796,0.5000000000000001,0.0008130534552037716,0.024999959394335747,0.30647972226142883,0.1857926845550537,0.03922868147492409
23,0.13258638978004456,0.3613414764404297,7.776676118373871,0.35145503282546997,1.4246701002120972,3.4995875358581543,6.662868022918701,0.0,0.0,0.0,0.04139164462685585,0.5000000000000001,0.00116788933519274,0.030261924490332603,0.311237633228302,0.18067073822021484,0.038721125572919846
24,0.13107629120349884,0.36036205291748047,7.748860120773315,0.35528746247291565,1.4427411556243896,3.562762975692749,6.736595630645752,0.0,0.0,0.0,0.016032900661230087,0.5000000000000001,0.0018593333661556244,0.039095062762498856,0.3192056715488434,0.18018102645874023,0.03707059100270271
25,0.12537401914596558,0.35349151492118835,7.598210126161575,0.34286004304885864,1.3829480409622192,3.395334005355835,6.78032922744751,0.0,0.0,0.0,0.015508992597460747,0.5000000000000001,0.0029024577233940363,0.05149991065263748,0.304184228181839,0.17674575746059418,0.035349152982234955
26,0.13473013043403625,0.3663623631000519,7.889548689126968,0.3523654043674469,1.4241031408309937,3.4362194538116455,6.360782623291016,0.0,0.0,0.0,0.031009674072265625,0.5000000000000001,0.0027868018951267004,0.047714438289403915,0.3064689040184021,0.18318118155002594,0.03715306520462036
27,0.13549861311912537,0.36750316619873047,7.927026599645615,0.35160303115844727,1.440305471420288,3.4477083683013916,6.275700092315674,0.0,0.0,0.0,0.03099857084453106,0.5000000000000001,0.0014081733534112573,0.029214177280664444,0.30750390887260437,0.18375158309936523,0.03726695850491524
28,0.1406158208847046,0.37473806738853455,8.084948360919952,0.36870795488357544,1.4989522695541382,3.654435873031616,7.205600261688232,0.0,0.0,0.0,0.010327203199267387,0.5000000000000001,0.0008475002250634134,0.022142956033349037,0.3279697895050049,0.18736903369426727,0.037473805248737335
29,0.1428099125623703,0.3777403235435486,8.154378086328506,0.3652501702308655,1.4541772603988647,3.5605921745300293,6.986968994140625,0.0,0.0,0.0,0.04129709675908089,0.5000000000000001,0.0016062258509919047,0.034285884350538254,0.3167365491390228,0.1888701617717743,0.039322663098573685
30,0.14446640014648438,0.3793124556541443,8.19096788764,0.37340062856674194,1.512088418006897,3.710545778274536,7.111416816711426,0.0,0.0,0.0,0.020644664764404297,0.5000000000000001,0.0012173240538686514,0.0297382902354002,0.3320910930633545,0.18965622782707214,0.038963474333286285
31,0.14065459370613098,0.3732622563838959,8.065728098154068,0.37060144543647766,1.49820876121521,3.7429416179656982,7.186622619628906,0.0,0.0,0.0,0.010319368913769722,0.5000000000000001,0.0008520669071003795,0.023285457864403725,0.335936039686203,0.18663112819194794,0.038358163088560104
32,0.14992092549800873,0.3859815001487732,8.32769051194191,0.36696478724479675,1.4871858358383179,3.4935836791992188,6.842738628387451,0.0,0.0,0.0,0.046423640102148056,0.5000000000000001,0.0005879643722437322,0.01854739896953106,0.3102443814277649,0.1929907500743866,0.03911396488547325
33,0.1398172825574875,0.3731286823749542,8.050722628831863,0.35868996381759644,1.477046012878418,3.499769687652588,6.694289207458496,0.0,0.0,0.0,0.03145333752036095,0.5000000000000001,0.001704871072433889,0.03900010138750076,0.31214848160743713,0.1865643411874771,0.03782850131392479
34,0.135874405503273,0.3681228458881378,7.950068265199661,0.35056111216545105,1.4724913835525513,3.274007558822632,6.197497367858887,0.0,0.0,0.0,0.05670159310102463,0.5000000000000001,0.0006867513875477016,0.02364274486899376,0.2895575165748596,0.1840614229440689,0.03784322366118431
35,0.12710542976856232,0.35595396161079407,7.689861953258514,0.3429586887359619,1.399343490600586,3.3019354343414307,6.449824810028076,0.0,0.0,0.0,0.051520757377147675,0.5000000000000001,0.0006393647636286914,0.024285724386572838,0.2925373911857605,0.17797698080539703,0.03765622526407242
36,0.11322588473558426,0.33391299843788147,7.214470207691193,0.3325536549091339,1.3356521129608154,3.3236794471740723,6.621607303619385,0.0,0.0,0.0,0.03605256602168083,0.5000000000000001,0.0009937809081748128,0.02299976348876953,0.295886367559433,0.16695649921894073,0.036481525748968124
37,0.1149698942899704,0.3364388048648834,7.252092659473419,0.33170178532600403,1.335458517074585,3.3283495903015137,6.461062431335449,0.0,0.0,0.0,0.015445028431713581,0.5000000000000001,0.0017181759467348456,0.030487878248095512,0.29816141724586487,0.1682194024324417,0.034673549234867096
38,0.1139342188835144,0.33382436633110046,7.181518524885178,0.32895711064338684,1.3198555707931519,3.291917562484741,6.486036777496338,0.0,0.0,0.0,0.005147320684045553,0.5000000000000001,0.0025305331218987703,0.03974996134638786,0.2958093285560608,0.16691218316555023,0.033382438123226166
39,0.10314847528934479,0.3146584928035736,6.7657217383384705,0.3094272315502167,1.2586339712142944,3.0539538860321045,6.000096321105957,0.0,0.0,0.0,0.010292326100170612,0.5000000000000001,0.0034309762995690107,0.0507856085896492,0.27392953634262085,0.1573292464017868,0.03146585077047348
40,0.0835171490907669,0.28068774938583374,6.035703793168068,0.25916022062301636,1.0352941751480103,2.5033504962921143,4.852364540100098,0.0,0.0,0.0,0.05658980831503868,0.5000000000000001,0.0066859605722129345,0.07378558069467545,0.22020842134952545,0.14034387469291687,0.03012658655643463
41,0.06534955650568008,0.25283703207969666,5.4255180060863495,0.24519042670726776,0.9907791018486023,2.4100990295410156,4.686500549316406,0.0,0.0,0.0,0.03599555045366287,0.5000000000000001,0.01551617868244648,0.12007106840610504,0.2136693000793457,0.12641851603984833,0.027340589091181755
42,0.07099749147891998,0.26323720812797546,5.6371890008449554,0.2562907338142395,1.047808289527893,2.5506367683410645,4.889481544494629,0.0,0.0,0.0,0.02107633836567402,0.5000000000000001,0.006235993467271328,0.07457126677036285,0.2276604324579239,0.13161860406398773,0.02740323916077614
43,0.07596047967672348,0.2723504602909088,5.833945795893669,0.26998934149742126,1.0894018411636353,2.677251100540161,5.354502201080322,0.0,0.0,0.0,0.005139282904565334,0.5000000000000001,0.0012433008523657918,0.033428531140089035,0.24049006402492523,0.1361752301454544,0.027235044166445732
44,0.08150733262300491,0.2829243838787079,6.06372095644474,0.2809221148490906,1.1368356943130493,2.8343818187713623,5.463496208190918,0.0,0.0,0.0,0.0051381248049438,0.5000000000000001,0.0013413167325779796,0.034547533839941025,0.2546319365501404,0.14146219193935394,0.028806252405047417
45,0.08418986946344376,0.28837400674819946,6.187773123383522,0.2820165455341339,1.1278194189071655,2.7964394092559814,5.4799017906188965,0.0,0.0,0.0,0.015405995771288872,0.5000000000000001,0.0020796048920601606,0.040749888867139816,0.2502930164337158,0.14418700337409973,0.02935093455016613
46,0.08598355203866959,0.29049354791641235,6.24387152493,0.28336191177368164,1.172240138053894,2.7355458736419678,5.3376336097717285,0.0,0.0,0.0,0.035930972546339035,0.5000000000000001,0.00352398119866848,0.052035603672266006,0.24296534061431885,0.14524677395820618,0.03058924712240696
47,0.08716333657503128,0.29329946637153625,6.31326362490654,0.28232771158218384,1.1372811794281006,2.8052334785461426,5.101469993591309,0.0,0.0,0.0,0.02616807445883751,0.5000000000000001,0.005578148644417524,0.07042857259511948,0.25011590123176575,0.14664973318576813,0.030407464131712914
48,0.08303166180849075,0.2825379967689514,6.088534370064735,0.27360549569129944,1.1198937892913818,2.6612460613250732,5.179131984710693,0.0,0.0,0.0,0.04103347286581993,0.5000000000000001,0.004160021431744099,0.060642652213573456,0.23581913113594055,0.1412689983844757,0.03030547685921192
49,0.0788024440407753,0.27598175406455994,5.9372104704380035,0.2650827169418335,1.078292965888977,2.539363384246826,4.945427894592285,0.0,0.0,0.0,0.03588785603642464,0.5000000000000001,0.002080547157675028,0.026928560808300972,0.22531279921531677,0.13799087703227997,0.028623539954423904
50,0.07365906238555908,0.2643842101097107,5.677484348416328,0.2610488533973694,1.042161226272583,2.6028404235839844,5.190561771392822,0.0,0.0,0.0,0.010250364430248737,0.5000000000000001,0.003985430113971233,0.04514278843998909,0.23333311080932617,0.13219210505485535,0.026950940489768982
