Date,Open,High,Low,Close,Volume,Movement,Daily_Return,Volatility,EMA_12,EMA_26,MACD,RSI,Stoch_K,Stoch_D,Williams_R,ROC
2007-01-25,48.057035960741885,48.59078662450335,47.19332973541879,47.416534423828125,4127600.0,-1,-2.9400210346752,1.7588421624112254,48.9357641595377,49.395852719712074,-0.46008856017437694,26.490733945306616,3.9655109036578002,17.29411155820903,-96.0344890963422,-8.979151398840434
2007-01-26,47.69797381340762,47.82413058648687,46.54312735306315,46.795448303222656,5012700.0,1,-1.3098513591355054,1.6938263221633774,48.60648479702769,49.203230170342486,-0.5967453733147963,26.387546613888276,4.018584550381033,12.325769044756106,-95.98141544961896,-8.099852401144647
2007-01-29,46.87308669434992,48.11527455159618,46.785745389559175,47.494178771972656,3231000.0,1,1.4931590444916765,1.8767833625405654,48.435360793173075,49.07663377046324,-0.6412729772901642,31.759282377767846,15.146901342245505,7.710332265428112,-84.8530986577545,-5.4482244877454455
2007-01-30,48.18320421110534,48.30936098886608,47.38742955784243,47.853248596191406,3284100.0,1,0.756029125048574,1.8960302606357393,48.34580507056051,48.9860126464431,-0.6402075758825916,34.576912814474554,20.865619693620303,13.343701862082279,-79.1343803063797,-3.2568083398577197
2007-01-31,47.940592392665565,48.68784126045415,47.25156489195011,48.52286529541016,3367300.0,1,1.399312938750108,1.9394770850266927,48.37304510515276,48.95170543525548,-0.5786603301027142,32.80376241973964,31.5302566191572,22.514259218341,-68.4697433808428,1.0509475608229346
2007-02-01,49.31863233642335,49.60006579994177,48.76547205405971,49.046905517578125,7072500.0,1,1.0799861446301184,1.151504130625421,48.47671593783359,48.9587572932053,-0.4820413553717131,40.3788799769245,57.97741298202864,36.79109643160205,-42.02258701797136,0.878237251868641
2007-02-02,52.46292419951338,52.78317319097387,49.34775338002885,49.61948394775391,14152500.0,1,1.1674098990212212,0.28986029837379484,48.65252640089825,49.007700008357055,-0.3551736074588021,46.821411104584016,49.30022430285198,46.26929796801261,-50.69977569714801,1.5693391927660505
2007-02-05,48.92074412953115,49.04690459390492,48.14437916030832,48.56167602539063,4793300.0,-1,-2.1318398302511254,1.4639175137425857,48.63854942005093,48.974661194803986,-0.3361117747530571,45.44564152791384,32.348298790755834,46.54197869187882,-67.65170120924417,1.152199585129976
2007-02-06,48.484041904947055,48.72665621035852,47.68826727935749,48.62961196899414,3811700.0,-1,0.13989620862342456,1.4580770707226214,48.63717442758065,48.949101992892146,-0.31192756531149257,53.5836385044654,33.437007838224226,38.36184364394401,-66.56299216177578,0.7033933940173043
2007-02-07,48.76547538770448,49.30893276454634,48.03763247147008,48.62961196899414,3115700.0,1,0.0,1.3304582639052007,48.6360109724135,48.925436065195996,-0.2894250927824942,50.06119951040392,33.437007838224226,33.07410482240143,-66.56299216177578,-0.4568939473030498
2007-02-08,48.76547703084026,49.095432645397615,48.23172628135059,48.55197525024414,2365100.0,1,-0.15964906073998586,1.1998877609752843,48.62308239977206,48.89777230112549,-0.2746899013534332,48.064918851435706,32.192838792568715,33.02228482300572,-67.80716120743128,2.3946094758148906
2007-02-09,48.7654714385333,48.7654714385333,47.998809407039495,48.01821899414063,2821600.0,1,-1.0993502393104482,0.9597714319432533,48.53002649121338,48.8326202043118,-0.30259371309842464,50.06496832346971,23.639115471167287,29.756320700653408,-76.36088452883271,2.613012024149719
2007-02-12,48.26083414799714,48.72665314080263,47.91146897789295,48.24142456054688,2216900.0,1,0.4648351627399627,0.5882363777581462,48.485626194187766,48.788827934403294,-0.3032017402155276,49.672372605517495,27.216101477426868,27.68268524705429,-72.78389852257312,1.573341845032994
2007-02-13,48.07644609637339,48.52285547829367,47.87265099184457,48.44521713256836,1813500.0,-1,0.4224431054387745,0.6326439306616678,48.479409415477086,48.763375282415524,-0.2839658669384377,47.10738700535911,30.48198408975253,27.11240034611556,-69.51801591024747,1.23704984247206
2007-02-14,48.522858976580494,49.63888621384199,48.23172256312108,48.988677978515625,3212800.0,1,1.1218049543675335,0.8328430006017833,48.55775842517532,48.780064371015534,-0.2223059458402119,62.77600939427047,39.19122854186101,32.29643803634681,-60.80877145813899,0.9599859370825747
2007-02-15,48.784884976377455,48.91104545175156,48.23172465619936,48.62961196899414,2066100.0,-1,-0.7329571328276163,0.9209402027918382,48.568812816532066,48.768919748643576,-0.20010693211150965,65.56830640372337,30.744289727006436,33.47250078620666,-69.25571027299357,-0.8508050491267571
2007-02-16,48.406413096648656,48.988686019137226,48.37729685912356,48.53256988525391,2458900.0,-1,-0.19955348153323227,0.7067924546696256,48.56323698095081,48.751412351355455,-0.18817537040464316,59.81649960114892,23.157912203036503,31.031143490634648,-76.8420877969635,-2.19049852200085
2007-02-20,49.69711392337834,50.73550286464631,49.0760218877041,50.26968383789063,5224600.0,1,3.579274612376393,1.681683874913159,48.82576726663386,48.863876905913614,-0.03810963927975308,68.12221352521685,54.561327968091526,36.15450996604482,-45.43867203190848,3.5171928819074605
2007-02-21,51.24013089170177,51.33717881675033,49.88149325902017,50.99751663208008,4751900.0,1,1.447856319400298,1.6808309147121216,49.159882553625586,49.02192429303706,0.13795826058852612,68.39815790115541,64.95211904065792,47.557119737261985,-35.04788095934208,4.869264975002663
2007-02-22,51.27896078981221,51.59920975447235,50.88107346887046,51.473052978515625,3268500.0,1,0.9324696138956812,1.6807524630596617,49.515754926685595,49.203489380850286,0.3122655458353094,68.16858389029383,74.28568387354963,64.5997102940997,-25.714316126450377,5.847139005210322
