Date,Open,High,Low,Close,Volume,Movement,Daily_Return,Volatility,EMA_12,EMA_26,MACD,RSI,Stoch_K,Stoch_D,Williams_R,ROC
2010-01-27,30.549999237060547,31.0,30.549999237060547,30.75,77000.0,-1,0.0,0.6098164120097828,31.988641465770733,33.02520940686952,-1.036567941098788,0.0,4.040418830575835,3.198658128710463,-95.95958116942417,-8.208955223880599
2010-01-28,31.0,31.0,30.75,30.75,10400.0,1,0.0,0.6747388031266888,31.798081240267543,32.85667537673104,-1.0585941364634976,0.0,5.000019073486328,3.0134793013540544,-94.99998092651367,-6.106870229007633
2010-01-29,30.850000381469727,30.850000381469727,30.5,30.6299991607666,30700.0,1,-0.39024663165332374,0.6693573486666754,31.618376304959707,32.69173639777071,-1.0733600928110043,0.0,4.262268632299363,4.434235512120509,-95.73773136770063,-6.4732850052928175
2010-02-01,30.25,30.5,30.25,30.5,3500.0,-1,-0.42441777449708784,0.6569440695294935,31.446318411888985,32.529385553491394,-1.0830671416024096,0.0,7.575759327225963,5.612682344337219,-92.42424067277403,-5.426356589147286
2010-02-02,30.5,30.5,30.5,30.5,600.0,0,0.0,0.22343190343824496,31.300730963906066,32.37906069767722,-1.0783297337711524,0.0,9.057976523011899,6.965334827512408,-90.9420234769881,-4.6875
2010-02-03,30.100000381469727,30.100000381469727,29.75,29.75,5200.0,-1,-2.4590163934426257,1.0290514210330532,31.06215696945898,32.184315460812236,-1.1221584913532574,0.0,0.0,5.544578616745954,-100.0,-6.299212598425196
2010-02-04,30.0,30.25,30.0,30.25,29400.0,1,1.680672268907557,1.4744752069594913,30.937209743388365,32.0410328340854,-1.103823090697034,14.285714285714292,18.181818181818183,9.079931568276693,-81.81818181818181,-4.272153054344163
2010-02-05,30.479999542236328,30.5,30.0,30.5,1800.0,1,0.8264462809917328,1.5577421250396641,30.869946705944002,31.92688225378278,-1.0569355478387763,23.07692307692308,30.0,16.060606060606062,-70.0,-3.1746031746031744
2010-02-08,30.0,30.0,29.75,29.850000381469727,47400.0,-1,-2.131146290263186,1.8185436681507616,30.713031886794113,31.77303915212996,-1.060007265335848,20.54794735299174,5.000019073486328,17.727279085101504,-94.99998092651367,-4.479998779296879
2010-02-09,29.100000381469727,29.799999237060547,29.100000381469727,29.799999237060547,29700.0,-1,-0.16750801933060888,1.8104751311675127,30.572565325296644,31.626888047310004,-1.0543227220133602,21.73912562735171,27.999954223632812,20.999991099039715,-72.00004577636719,-3.0894333754128533
2010-02-10,29.399999618530277,29.850000381469727,29.399999618530277,29.75,107600.0,-1,-0.16778267899539845,1.4234936079385196,30.446016813712543,31.487859303064816,-1.0418424893522733,22.388057152129534,27.08332174353945,20.027765013552862,-72.91667825646054,-3.2520325203251987
2010-02-11,29.739999771118164,29.739999771118164,29.5,29.739999771118164,10000.0,-1,-0.03361421472886095,1.086502089045783,30.33739880715956,31.358388226624324,-1.0209894194647653,23.006133354084042,29.767418753587368,28.283564906919878,-70.23258124641264,-3.284553589859629
2010-02-12,29.739999771118164,29.739999771118164,29.739999771118164,29.739999771118164,100.0,0,0.0,0.9150236589841413,30.24549126315319,31.238507600290536,-0.9930163371373446,24.916941626898563,33.68418516544245,30.178308554189755,-66.31581483455756,-2.9056461444126325
2010-02-16,29.739999771118164,29.739999771118164,29.739999771118164,29.739999771118164,0.0,0,0.0,0.08677803922590571,30.167723341301645,31.127507020351842,-0.9597836790501972,29.880475362909138,33.68418516544245,32.37859636149076,-66.31581483455756,-2.49180402912077
2010-02-17,29.739999771118164,29.739999771118164,29.739999771118164,29.739999771118164,0.0,0,0.0,0.07274751033945363,30.10191971511957,31.024728705593795,-0.9228089904742234,29.880475362909138,33.68418516544245,33.68418516544245,-66.31581483455756,-2.49180402912077
2010-02-18,29.100000381469727,29.700000762939453,29.100000381469727,29.700000762939453,1700.0,-1,-0.1344956573185896,0.05823832812984145,30.04008603016878,30.926600709841622,-0.8865146796728425,29.411773505648,34.285736083984375,33.88470213828976,-65.71426391601562,-0.16806466238838969
