Date,Open,High,Low,Close,Volume,Movement,Daily_Return,Volatility,EMA_12,EMA_26,MACD,RSI,Stoch_K,Stoch_D,Williams_R,ROC
2007-01-25,20.746565151203136,20.83927588039226,20.29331488049311,20.447832107543945,2644000.0,-1,-2.2167558451890113,1.7602531008571145,20.64440174697133,20.56296934075854,0.08143240621279091,46.1152154140293,20.245047961366303,46.13386800418843,-79.75495203863369,-1.5132914829284583
2007-01-26,20.43753135266851,20.648705361530133,20.329369486742777,20.48388671875,2408900.0,-1,0.1763248593612765,1.754463153121155,20.619707127244972,20.557111368757905,0.06259575848706689,46.78215484851458,24.53956106121553,41.49319317364358,-75.46043893878448,-2.333022159431697
2007-01-29,20.519950411233367,20.777479908379973,20.44269077617173,20.60235977172852,2537400.0,1,0.5783719398822607,1.6530127297011672,20.61703830331936,20.560463102311285,0.05657520100807645,48.809751581546145,38.65104530625826,27.811884776280028,-61.34895469374174,-1.6473853753072643
2007-01-30,20.65412874104132,20.736973000193007,20.44701908074357,20.55575180053711,1932900.0,1,-0.22622637264769763,1.664948198241362,20.60760961058363,20.56011411699468,0.047495493588950666,46.661394720648595,33.09950734361087,32.09670457036155,-66.90049265638913,-1.9181109683074848
2007-01-31,20.50915503161092,20.871599463525907,20.44702232119109,20.716264724731445,2265700.0,-1,0.7808662302983382,1.2016509017489365,20.624325781990986,20.571680828678883,0.05264495331210384,48.98866495342548,52.21841703613647,41.3229898953352,-47.78158296386353,-1.4187391083357537
2007-02-01,20.726627459843908,20.995871928884213,20.726627459843908,20.87678337097168,2360300.0,1,0.7748435751962823,0.435360803308371,20.66316541106494,20.59428101699687,0.06888439406807123,47.82026359683235,71.33800828922386,52.218644222990406,-28.661991710776128,0.27909340041176733
2007-02-02,20.84053447079988,21.026934598241883,20.84053447079988,20.93891143798828,1253600.0,-1,0.29759405897265,0.4217783460968641,20.705587876745454,20.619809196329566,0.08577868041588843,49.81019370932571,78.73820171519839,67.43154234685291,-21.261798284801614,1.3548453630519708
2007-02-05,20.89748413229065,21.099416885846928,20.82499565410767,20.969972610473636,2592800.0,-1,0.14834186857013432,0.43053970786154055,20.746262451165173,20.645747227006904,0.10051522415826852,50.269493171242374,82.43794132456647,77.5047171096629,-17.562058675433537,2.812489771871851
2007-02-06,21.09942846347588,21.109784248207696,20.736983898518343,20.9182071685791,2194800.0,1,-0.2468550763327193,0.4375447258537142,20.77271548461347,20.665929444901142,0.10678603971232903,47.87532785289949,76.27208728721645,79.14941010899376,-23.727912712783553,2.455188090303073
2007-02-07,20.990677218967143,21.120121451483968,20.89747721354205,21.037277221679688,2551700.0,1,0.5692172954450792,0.39358562706575556,20.813417290315964,20.69343668762548,0.11998060269048594,54.99729659021537,90.16401733272185,82.95801531483492,-9.835982667278142,0.6020200137017095
2007-02-08,20.975154380765957,21.19779874409697,20.975154380765957,21.05799865722656,1535800.0,-1,0.09849865706725858,0.2978875365415256,20.851045192917596,20.7204412779663,0.1306039149512941,59.739834036874555,84.80324919826563,83.74645127273465,-15.196750801734371,2.9840158432125508
2007-02-09,21.17709632742775,21.19780592218316,20.778407494716895,20.88714027404785,2427900.0,1,-0.8113704723790249,0.5155691164498485,20.85659828232225,20.73278935175012,0.12380893057212816,62.543859905684705,65.65298783337563,80.2067514547877,-34.34701216662437,1.9686378900383827
2007-02-12,20.980328389523045,21.042461088656616,20.87677257419183,20.969972610473636,1938100.0,1,0.3965709778313009,0.5500524928191564,20.87404048665323,20.750358482025938,0.12368200462729106,63.69851105605605,74.81088245121637,75.08903982761922,-25.189117548783624,1.784323945500521
2007-02-13,21.0787176602404,21.30654098229388,20.892317478619933,21.161561965942383,2986000.0,1,0.9136366509751914,0.6541910266875869,20.918274560390024,20.780817999353083,0.1374565610369416,57.29056657469432,85.69134607825146,75.38507212094783,-14.308653921748538,2.9471564517987714
2007-02-14,21.22368461131067,21.710394383728588,21.17190571520477,21.62755012512207,3747000.0,1,2.2020499239595592,1.1115008170885048,21.027393878041106,20.843538897558194,0.18385498048291282,84.33042265841628,94.00124800158702,84.83449217701828,-5.998751998412991,4.398888566541226
2007-02-15,21.544708589696604,21.68968556679189,21.47739700383243,21.56542015075684,1926700.0,-1,-0.2872723632856733,1.1636971891033534,21.110167150766603,20.897011582980316,0.21315556778628775,81.00269766963774,88.5640277342789,89.41887393803911,-11.4359722657211,3.298577024766569
2007-02-16,21.61202289890177,21.622376705573405,21.39455543069249,21.52917861938477,1628000.0,1,-0.16805390814886856,1.0103002144249944,21.174630453630936,20.94383877086213,0.2307916827688068,77.88220982808878,85.6562207670473,89.40716550097106,-14.343779232952704,2.818996503923321
2007-02-20,21.322068110061604,21.6223778992026,21.244400729592904,21.539533615112305,2115400.0,-1,0.048097495545929014,1.0403951128780746,21.230769401551147,20.98796431488066,0.2428050866704865,80.25582696777128,86.47581550338332,86.89868800156984,-13.52418449661668,2.716078915402087
2007-02-21,21.539526684138902,21.59130557951117,21.265105451736027,21.55506134033203,1700500.0,-1,0.07208942169867338,1.0332268184016127,21.2806604690559,21.029971501951135,0.2506889671047645,78.32265743038994,84.21038158274521,85.44747261772528,-15.789618417254784,3.0444969141979694
2007-02-22,21.523999220626703,21.64308774610619,21.31688753925859,21.637910842895508,1910400.0,-1,0.38436217487562985,0.25764679544405056,21.33562206503122,21.07500404572479,0.26061801930643114,77.1227152485327,92.55365111282686,87.74661606631845,-7.446348887173141,2.8550920106564126
2007-02-23,21.705216630528767,21.96928407643613,21.606839685577548,21.943395614624023,3891300.0,1,1.4118034497254461,0.6255729392839241,21.429125688045495,21.139329347124733,0.2897963409207627,80.50408525219915,97.89917568170372,91.55440279242526,-2.100824318296277,4.204563652081061
2007-02-26,21.97964336364102,22.00553182958433,21.72593165700453,21.89679908752441,3132100.0,1,-0.21234875366581418,0.6349802609309186,21.50107544181148,21.19543821678397,0.30563722502751034,77.88269533563152,91.42856652104975,93.96046443852678,-8.57143347895025,4.833877688517529
